Level ID, Passable Space, Impassable Space, Playble Space Size, Unreachable Space Count, Unreachable Space Size,Room Count, Average Room Size, Biggest Room Size, Smallest Room Size, Decisions Per Room,Corridor Count, Average Corridor Size, Biggest Corridor Size, Smallest Corridor Size
18178,3665,6335,2783,13,882,27,119.2222,953,3,1,13,34.30769,80,13
18179,4382,5618,3443,12,939,20,206.5,2376,12,0.75,7,36,112,8
18180,4214,5786,2545,12,1669,16,259.8125,1581,12,0.375,4,14.25,32,4
18181,3951,6049,1943,10,2008,16,237.0625,1576,6,0.5,4,39.5,64,8
18182,4776,5224,4153,7,623,15,307.2,1951,19,1.133333,9,18.66667,40,4
18183,3816,6184,2579,9,1237,22,153.5455,859,7,1.045455,11,39.81818,123,13
18184,3921,6079,2161,8,1760,21,168.7619,443,12,1.285714,14,26.92857,53,5
18185,3401,6599,1308,15,2093,27,104.6667,995,6,0.8148148,11,52.27273,138,8
18186,3640,6360,1114,11,2526,22,152.4545,958,10,0.7727273,9,31.77778,78,4
18187,4977,5023,3276,6,1701,13,372.3077,3098,8,0.8461539,5,27.4,39,16
18188,3973,6027,1227,11,2746,23,151.913,812,12,0.9130435,10,47.9,101,12
18189,4570,5430,3933,3,637,20,199.6,1441,6,1.5,14,41.28571,112,9
18190,3952,6048,1621,10,2331,17,223.4118,1293,6,0.6470588,5,30.8,50,19
18191,4271,5729,1997,10,2274,21,190.4762,671,6,0.952381,12,22.58333,54,6
18192,3854,6146,1369,11,2485,18,202.7778,1203,15,0.6666667,6,34,88,13
18193,4146,5854,3499,11,647,19,209.2632,1858,1,0.6842105,7,24.28572,55,4
18194,4174,5826,2859,10,1315,20,194.8,2094,21,1.1,11,25.27273,66,8
18195,3884,6116,1045,10,2839,28,115.6429,383,7,1.285714,17,38,86,8
18196,3194,6806,655,15,2539,22,129.7273,655,6,0.5,5,68,174,13
18197,3925,6075,2747,11,1178,22,169.0455,1372,6,0.7272727,8,25.75,61,8
18198,4512,5488,3813,6,699,21,183.7143,1571,6,1.47619,16,40.875,131,8
18199,2984,7016,795,15,2189,24,114,501,12,0.5833333,7,35.42857,57,8
18200,3841,6159,1610,6,2231,21,158,585,16,1.380952,14,37.35714,75,8
18201,4119,5881,2769,7,1350,21,171.9048,1256,7,1.142857,12,42.41667,93,10
18202,4510,5490,1987,7,2523,14,313.2143,1671,9,1,7,17.85714,27,10
18203,3624,6376,2242,9,1382,18,176.3889,1099,4,1.111111,10,44.9,78,12
18204,3814,6186,2707,10,1107,20,173.3,616,6,1.05,10,34.8,65,12
18205,3977,6023,3490,8,487,19,184.3158,2574,6,1.052632,9,52.77778,128,4
18206,4277,5723,3167,8,1110,21,187.4286,1277,10,1.285714,13,26.23077,81,8
18207,3957,6043,2315,7,1642,18,202.6667,1051,13,1.055556,10,30.9,60,4
18208,3192,6808,1272,12,1920,25,113.36,408,12,0.88,11,32.54546,95,8
18209,3923,6077,1882,4,2041,13,274.2308,1369,16,1.230769,8,44.75,111,4
18210,5004,4996,3072,6,1932,17,272.0588,2515,1,1.176471,9,42.11111,86,8
18211,4267,5733,2393,9,1874,15,275.2667,2133,6,0.6,4,34.5,62,18
18212,4577,5423,4282,4,295,11,399.3636,1366,6,1.181818,6,30.66667,54,18
18213,3780,6220,2510,8,1270,16,217.5625,1994,6,1.125,9,33.22222,127,7
18214,4489,5511,2226,10,2263,17,249.3529,1148,6,0.8823529,8,31.25,97,5
18215,4392,5608,3627,6,765,15,275.0667,1204,6,1.066667,8,33.25,105,4
18216,4036,5964,3299,10,737,21,171.4286,1215,6,1.095238,11,39.63636,169,4
18217,4057,5943,3565,8,492,20,186.25,1466,10,1,10,33.2,119,4
18218,3008,6992,1079,19,1929,28,97.75,470,1,0.5,6,45.16667,79,15
18219,3914,6086,1563,12,2351,20,177.3,634,9,0.8,8,46,102,10
18220,3733,6267,2201,9,1532,23,147.7391,684,13,0.9565217,12,27.91667,109,4
18221,3867,6133,2465,11,1402,19,187.0526,1446,16,1.052632,10,31.3,58,8
18222,3781,6219,2268,11,1513,19,186.3684,1740,6,0.6842105,6,40,62,14
18223,3744,6256,3351,7,393,12,300,2649,12,0.6666667,4,36,60,22
18224,3867,6133,2331,13,1536,22,160.8636,1018,14,0.6363636,7,46.85714,79,13
